name,variable,value
Jared Angle,Started training,6.0
Tyler Angle,Started training,9.0
Ashley Bouder,Started training,6.0
Megan Fairchild,Started training,4.0
Gonzalo Garcia,Started training,8.0
Joseph Gordon,Started training,5.0
Anthony Huxley,Started training,5.0
Sterling Hyltin,Started training,6.0
Russell Janzen,Started training,6.0
Sara Mearns,Started training,3.0
Tiler Peck,Started training,2.0
Unity Phelan,Started training,5.0
Amar Ramasar,Started training,12.0
Teresa Reichlen,Started training,10.0
Taylor Stanley,Started training,3.0
Daniel Ulbricht,Started training,11.0
Andrew Veyette,Started training,9.0
Indiana Woodward,Started training,10.0
Jared Angle,Studied at a prestigious school,
Tyler Angle,Studied at a prestigious school,
Ashley Bouder,Studied at a prestigious school,
Megan Fairchild,Studied at a prestigious school,
Gonzalo Garcia,Studied at a prestigious school,15.0
Joseph Gordon,Studied at a prestigious school,
Anthony Huxley,Studied at a prestigious school,
Sterling Hyltin,Studied at a prestigious school,
Russell Janzen,Studied at a prestigious school,
Sara Mearns,Studied at a prestigious school,
Tiler Peck,Studied at a prestigious school,
Unity Phelan,Studied at a prestigious school,
Amar Ramasar,Studied at a prestigious school,
Teresa Reichlen,Studied at a prestigious school,
Taylor Stanley,Studied at a prestigious school,
Daniel Ulbricht,Studied at a prestigious school,
Andrew Veyette,Studied at a prestigious school,
Indiana Woodward,Studied at a prestigious school,
Jared Angle,Studied at NYCB's School of American Ballet,15.0
Tyler Angle,Studied at NYCB's School of American Ballet,14.0
Ashley Bouder,Studied at NYCB's School of American Ballet,16.0
Megan Fairchild,Studied at NYCB's School of American Ballet,16.0
Gonzalo Garcia,Studied at NYCB's School of American Ballet,
Joseph Gordon,Studied at NYCB's School of American Ballet,13.0
Anthony Huxley,Studied at NYCB's School of American Ballet,15.0
Sterling Hyltin,Studied at NYCB's School of American Ballet,15.0
Russell Janzen,Studied at NYCB's School of American Ballet,15.0
Sara Mearns,Studied at NYCB's School of American Ballet,15.0
Tiler Peck,Studied at NYCB's School of American Ballet,14.0
Unity Phelan,Studied at NYCB's School of American Ballet,14.0
Amar Ramasar,Studied at NYCB's School of American Ballet,12.0
Teresa Reichlen,Studied at NYCB's School of American Ballet,15.0
Taylor Stanley,Studied at NYCB's School of American Ballet,17.0
Daniel Ulbricht,Studied at NYCB's School of American Ballet,16.0
Andrew Veyette,Studied at NYCB's School of American Ballet,16.0
Indiana Woodward,Studied at NYCB's School of American Ballet,16.0
Jared Angle,Joined a different company,
Tyler Angle,Joined a different company,
Ashley Bouder,Joined a different company,
Megan Fairchild,Joined a different company,
Gonzalo Garcia,Joined a different company,18.0
Joseph Gordon,Joined a different company,
Anthony Huxley,Joined a different company,
Sterling Hyltin,Joined a different company,
Russell Janzen,Joined a different company,
Sara Mearns,Joined a different company,
Tiler Peck,Joined a different company,
Unity Phelan,Joined a different company,
Amar Ramasar,Joined a different company,
Teresa Reichlen,Joined a different company,
Taylor Stanley,Joined a different company,
Daniel Ulbricht,Joined a different company,
Andrew Veyette,Joined a different company,
Indiana Woodward,Joined a different company,
Jared Angle,Promoted to principal at a different company,
Tyler Angle,Promoted to principal at a different company,
Ashley Bouder,Promoted to principal at a different company,
Megan Fairchild,Promoted to principal at a different company,
Gonzalo Garcia,Promoted to principal at a different company,22.0
Joseph Gordon,Promoted to principal at a different company,
Anthony Huxley,Promoted to principal at a different company,
Sterling Hyltin,Promoted to principal at a different company,
Russell Janzen,Promoted to principal at a different company,
Sara Mearns,Promoted to principal at a different company,
Tiler Peck,Promoted to principal at a different company,
Unity Phelan,Promoted to principal at a different company,
Amar Ramasar,Promoted to principal at a different company,
Teresa Reichlen,Promoted to principal at a different company,
Taylor Stanley,Promoted to principal at a different company,
Daniel Ulbricht,Promoted to principal at a different company,
Andrew Veyette,Promoted to principal at a different company,
Indiana Woodward,Promoted to principal at a different company,
Jared Angle,Became an apprentice,17.0
Tyler Angle,Became an apprentice,16.0
Ashley Bouder,Became an apprentice,17.0
Megan Fairchild,Became an apprentice,17.0
Gonzalo Garcia,Became an apprentice,
Joseph Gordon,Became an apprentice,18.0
Anthony Huxley,Became an apprentice,18.0
Sterling Hyltin,Became an apprentice,17.0
Russell Janzen,Became an apprentice,17.0
Sara Mearns,Became an apprentice,17.0
Tiler Peck,Became an apprentice,15.0
Unity Phelan,Became an apprentice,17.0
Amar Ramasar,Became an apprentice,19.0
Teresa Reichlen,Became an apprentice,16.0
Taylor Stanley,Became an apprentice,18.0
Daniel Ulbricht,Became an apprentice,17.0
Andrew Veyette,Became an apprentice,18.0
Indiana Woodward,Became an apprentice,18.0
Jared Angle,Became a corps de ballet member,17.5
Tyler Angle,Became a corps de ballet member,17.0
Ashley Bouder,Became a corps de ballet member,17.5
Megan Fairchild,Became a corps de ballet member,18.0
Gonzalo Garcia,Became a corps de ballet member,
Joseph Gordon,Became a corps de ballet member,19.0
Anthony Huxley,Became a corps de ballet member,19.0
Sterling Hyltin,Became a corps de ballet member,18.0
Russell Janzen,Became a corps de ballet member,18.0
Sara Mearns,Became a corps de ballet member,18.0
Tiler Peck,Became a corps de ballet member,16.0
Unity Phelan,Became a corps de ballet member,18.0
Amar Ramasar,Became a corps de ballet member,20.0
Teresa Reichlen,Became a corps de ballet member,17.0
Taylor Stanley,Became a corps de ballet member,19.0
Daniel Ulbricht,Became a corps de ballet member,18.0
Andrew Veyette,Became a corps de ballet member,18.0
Indiana Woodward,Became a corps de ballet member,18.0
Jared Angle,Became a soloist,20.0
Tyler Angle,Became a soloist,20.0
Ashley Bouder,Became a soloist,21.0
Megan Fairchild,Became a soloist,19.0
Gonzalo Garcia,Became a soloist,
Joseph Gordon,Became a soloist,24.0
Anthony Huxley,Became a soloist,23.0
Sterling Hyltin,Became a soloist,21.0
Russell Janzen,Became a soloist,24.0
Sara Mearns,Became a soloist,20.0
Tiler Peck,Became a soloist,17.0
Unity Phelan,Became a soloist,22.0
Amar Ramasar,Became a soloist,25.0
Teresa Reichlen,Became a soloist,21.0
Taylor Stanley,Became a soloist,22.0
Daniel Ulbricht,Became a soloist,22.0
Andrew Veyette,Became a soloist,24.0
Indiana Woodward,Became a soloist,23.0
Jared Angle,Became a principal,24.0
Tyler Angle,Became a principal,22.0
Ashley Bouder,Became a principal,22.0
Megan Fairchild,Became a principal,20.0
Gonzalo Garcia,Became a principal,27.0
Joseph Gordon,Became a principal,25.0
Anthony Huxley,Became a principal,27.0
Sterling Hyltin,Became a principal,22.0
Russell Janzen,Became a principal,27.0
Sara Mearns,Became a principal,22.0
Tiler Peck,Became a principal,20.0
Unity Phelan,Became a principal,26.0
Amar Ramasar,Became a principal,28.0
Teresa Reichlen,Became a principal,25.0
Taylor Stanley,Became a principal,25.0
Daniel Ulbricht,Became a principal,24.0
Andrew Veyette,Became a principal,25.0
Indiana Woodward,Became a principal,27.0
