name,Started training,Joined a different company,Studied at a prestigious school,Studied at ABT JKO school,Promoted to principal at a different company,Joined ABT Studio Company,Became an apprentice,Became a corps de ballet member,Became a soloist,Became a principal
Joo Won Ahn,13,,19,,,20,21,21.5,26,27
Aran Bell,4,,,,,16,18,,20,21
Isabella Boylston,3,,16,,,19,20,21,25,28
Skylar Brandt,6,,,12,,16,17,18,22,27
Misty Copeland,13,,,,,18,,19,25,33
Herman Cornejo,8,14,,,16,,,18,19,22
Thomas Forster,8,,11,,,20,21,21.5,29,34
Gillian Murphy,3,14,15,,,,,17,20,23
Calvin Royal III,14,,,17,,18,21,22,27,31
Hee Seo,11,,16,,,17,18,19,24,26
Christine Shevchenko,4,,8,,,18,19,20,26,29
Cory Stearns,5,,15,,,19,20,21,24,26
Devon Teuscher,9,,,16,,17,18,19,25,28
Cassandra Trenary,3,13,,16,,18,18,18.5,22,27
James Whiteside,9,18,,,25,,,,28,29